nitrogen,phosphorus,potassium,ph,temperature,humidity,rainfall,soil,season,crop
21.76,47.06,37.68,7.18,32.82,63.25,39.77,Sandy Loam,Kharif,MothBeans
99.14,62.6,81.54,6.01,28.52,79.36,142.81,Loamy,Kharif,Papaya
29.04,59.43,34.31,6.63,30.87,76.38,84.71,Clay Loam,Kharif,MungBean
35,90.98,289.13,6.15,17.64,70.67,82.96,Loamy,Kharif,Grapes
86.23,46.77,88.55,6.41,17,70.68,179.31,Red Soil,Rabi,Coffee
28.26,100.91,256.44,7,25.24,68.76,68.71,Sandy,Rabi,Grapes
28.06,54.44,21.79,6.6,28.97,82.47,60.35,Loamy,Zayad,MungBean
30.39,49.47,37.86,7.36,30.68,51.59,58,Sandy,Kharif,MothBeans
27.88,52.65,24.41,6.72,34.14,64.67,48.4,Sandy,Kharif,MothBeans
22.98,50.71,30.93,6.44,24.42,76.96,119.13,Red Soil,Kharif,PigeonPeas
34.89,62.36,44.85,7.01,30.44,73.27,66.14,Loamy,Rabi,Blackgram
27.04,66.01,30.79,6,15.02,71.86,79.19,Sandy Loam,Rabi,KidneyBeans
93.29,68.79,81.18,6.91,30.83,82.33,194.12,Loamy,Kharif,Papaya
97.67,58.42,58.25,6.82,24.01,78.43,77.75,Sandy Loam,Zayad,Muskmelon
36.55,66.85,28.7,6.51,24.74,69.54,93.37,Red Soil,Kharif,PigeonPeas
34.6,55.23,34.83,6.34,32.46,67.86,94.1,Clay,Kharif,Blackgram
25.64,58.08,34.15,7.53,26.52,51.27,59.77,Sandy,Kharif,MothBeans
34.98,63.42,39.44,5.67,18.88,73.35,78.07,Sandy Loam,Kharif,KidneyBeans
31.4,62.63,34.95,6.35,21.77,62.19,47.13,Loamy,Rabi,Lentil
117.96,57.71,59.22,6.73,30.9,73.41,72.58,Sandy,Kharif,Watermelon
54.43,28.48,27.57,6.77,33.16,89.18,232.53,Alluvial,Kharif,Jute
23.76,68.93,39.88,7.12,29.46,69.88,102.89,Clay,Kharif,PigeonPeas
25.8,30.81,26.98,7.09,31.38,48.99,62.88,Sandy,Kharif,Pomegranate
48.35,53.47,38.88,6.09,25.73,78.95,98.69,Loamy,Rabi,Blackgram
117.65,41.75,47.89,6.08,29.84,75.78,80.2,Clay,Kharif,Cotton
59.33,27.02,22.32,6.19,34.65,73.11,173.38,Loamy,Kharif,Jute
34.25,41.85,22.99,6.48,25.94,81.08,69.38,Sandy,Zayad,MungBean
21.9,57.6,28.38,6.32,22.04,64.48,99.83,Sandy,Kharif,KidneyBeans
34.31,52.6,36.16,6.13,31.35,81.26,90.42,Sandy,Zayad,MungBean
46.06,60.92,47.94,7.18,30.81,71.64,97.1,Loamy,Kharif,Blackgram
44.62,47.8,133.01,5.59,34.62,75.11,187.63,Loamy,Kharif,Coconut
88.85,67.71,331.98,7.49,32.01,82.96,146.4,Red Soil,Kharif,Banana
41.39,33.38,120.77,6.29,32.1,74.9,152.66,Coastal Sandy,Kharif,Coconut
28.41,57.8,34.98,6.9,28.89,65.99,39.96,Loamy,Kharif,MothBeans
110.05,47.61,85.14,6.05,16.75,83.78,201.88,Clay Loam,Rabi,Coffee
22.13,69.07,30.9,7.32,18.72,63.17,77.46,Clay Loam,Rabi,Lentil
18.94,32.7,23.98,7.04,27.27,48.45,80.3,Red Soil,Kharif,Pomegranate
47.43,54.91,48.69,6.87,30.22,79,82.6,Red Soil,Kharif,Blackgram
39.23,58.51,36.97,7.23,28.66,67.42,87.75,Clay,Rabi,Blackgram
86.93,59.62,36.89,6.5,27,60.23,77.33,Sandy Loam,Kharif,Maize
20.09,45.03,36.48,6.89,30.38,76.06,90.04,Sandy,Zayad,MungBean
96.22,72.47,96.99,6.71,29.95,79.93,178.56,Loamy,Kharif,Papaya
37.77,68.55,25.99,6.44,16.12,62.52,78.39,Clay Loam,Rabi,Lentil
37.22,67.35,21.32,6.05,15.26,66.68,64.6,Loamy,Kharif,KidneyBeans
83.28,40.12,20.6,5.8,23.31,71.48,64.7,Clay Loam,Kharif,Maize
49.14,31.53,112.08,6.17,29.13,72.5,201.93,Coastal Sandy,Kharif,Coconut
43.66,24.35,32.63,6.27,29.13,72.14,104.6,Sandy Loam,Kharif,Orange
46.31,42.68,101.92,5.53,31.17,71.32,166.32,Loamy,Kharif,Coconut
38.15,50.27,29.54,6.98,27.37,71.74,102.81,Clay,Kharif,PigeonPeas
38.53,117.95,228.07,6.09,16.14,66.38,67.94,Loamy,Kharif,Grapes
37.38,19.4,27.95,6.66,23.63,66.64,115.5,Sandy Loam,Rabi,Orange
84.04,47.01,28.1,6.69,26.75,64.82,57.43,Sandy Loam,Kharif,Maize
26.13,94.07,257.78,6.29,18.04,66.97,74.64,Sandy,Rabi,Grapes
58.46,39.34,30.7,6.34,30.67,70.68,228.66,Loamy,Kharif,Jute
44.34,15.92,23.03,6.73,28.86,65.53,148.51,Red Soil,Kharif,Orange
95.93,78.01,99.15,6.69,23.62,77.16,100.69,Sandy Loam,Kharif,Papaya
26.8,50.99,23.06,6.43,18.61,71.84,58.08,Sandy,Rabi,Lentil
21.1,18.26,22.93,5.63,26.18,67.38,144.84,Red Soil,Kharif,Mango
82.98,60.21,255.76,7.11,29.07,86.5,115.78,Clay Loam,Kharif,Banana
41.91,32.98,24.9,6.84,20.23,72.42,116.85,Sandy Loam,Rabi,Orange
40.95,55.12,44.81,7.19,29.98,65.59,95.25,Loamy,Kharif,Blackgram
90.8,71.37,81.28,6.25,22.78,79.12,132.48,Red Soil,Kharif,Papaya
28.33,59.17,23.64,7.07,34.03,57.44,37.74,Loamy,Kharif,MothBeans
77.57,56.88,35.96,6.92,18.84,73.42,98.25,Loamy,Kharif,Maize
23.59,42.38,20.57,6.73,28.35,65.35,44.87,Loamy,Kharif,MothBeans
58.08,38.1,34.18,6.29,26.53,81.99,203.77,Alluvial,Kharif,Jute
24.23,16.22,27.73,6.66,28.02,50.95,63.4,Sandy,Rabi,Pomegranate
30.63,55.22,42.28,6.81,27.13,68.75,85.16,Clay,Rabi,Blackgram
24.08,63.16,34.23,6.36,23.06,66.38,78.47,Loamy,Kharif,KidneyBeans
35.58,50.12,54.64,7.49,20.72,72.91,74.11,Sandy Loam,Rabi,Chickpea
67.25,56.16,53.56,6.03,22.4,69.99,55.87,Clay Loam,Rabi,Wheat
30.08,19.87,16.87,6.46,23.96,66.1,127.93,Red Soil,Kharif,Orange
32.33,66.71,39.59,6.94,22.2,69.4,99.91,Clay,Kharif,PigeonPeas
94.2,40.2,44.68,6.51,26.6,88.44,219.91,Loamy,Kharif,Rice
50.77,29.46,36.63,7.19,28.55,70.26,205.82,Alluvial,Kharif,Jute
32.12,61.3,34.05,6.93,21.46,68.02,51.82,Clay Loam,Rabi,Lentil
81.82,45.82,47.95,6.61,23.13,82.93,163.01,Loamy,Kharif,Rice
36.38,52.94,34.68,5.52,21.18,73.36,85.05,Sandy Loam,Rabi,KidneyBeans
41.58,64.27,54.75,6.13,25.57,75.66,92.75,Sandy Loam,Rabi,Chickpea
90.54,43.63,51.49,6.69,25.43,72.56,44.55,Sandy,Kharif,Muskmelon
15.54,31.26,32.99,6.77,32.39,47.55,67.1,Loamy,Rabi,Pomegranate
27.17,57.89,22.08,7.19,16.04,71.32,57.03,Loamy,Rabi,Lentil
29.08,45.21,39.59,6.68,34.52,80.73,97.02,Sandy,Zayad,MungBean
23.85,46.62,33.15,7.25,28.62,52.15,38.66,Loamy,Kharif,MothBeans
47.6,33.89,36.23,6.74,30.74,80.39,162.75,Loamy,Kharif,Jute
22.69,68.78,20.66,7.36,23.71,65.1,74.5,Sandy,Rabi,Lentil
34.75,140,209.81,6.2,21.87,64.67,129.39,Loamy,Rabi,Apple
46.69,34.25,36.7,6.69,24.49,75.67,157.86,Clay,Kharif,Jute
37.17,27.63,16.32,7.08,19.97,76.65,102.43,Sandy Loam,Rabi,Orange
22.71,25.35,25.14,7.05,27.37,46.45,94.74,Sandy,Kharif,Pomegranate
32.85,58.18,39.91,7.88,27.98,67.9,50.26,Sandy Loam,Kharif,MothBeans
21.97,127.14,240.65,6.92,11.37,66.94,138.34,Sandy Loam,Rabi,Apple
34.88,25.28,23.9,6,18.02,78.96,148.94,Loamy,Kharif,Orange
89.63,40.51,44.86,6.83,24.15,84.84,280.96,Clay Loam,Kharif,Rice
45.24,36.71,140.14,6.34,32.87,89.87,155.18,Sandy,Kharif,Coconut
30.84,15.72,24.31,7.43,34.41,54.82,97.73,Sandy,Kharif,Pomegranate
33.24,60.4,25.27,7.21,19.95,71.59,60.33,Loamy,Rabi,Lentil
118.69,43.46,57.03,6.4,30.62,75.57,76.33,Sandy,Kharif,Watermelon
54.4,52.69,49.48,6.76,19.07,57.65,43.92,Clay Loam,Rabi,Wheat
50.26,59.25,49.54,6.54,20.68,55.75,44.26,Clay Loam,Rabi,Wheat
123.31,45.8,54.6,7.29,27.11,70.68,74.02,Black Soil,Kharif,Cotton
33.47,59.64,36.8,6.22,18.13,63.24,49.13,Sandy,Rabi,Lentil
95.63,75.73,88.15,6.64,28.72,82.42,128.97,Sandy Loam,Kharif,Papaya
108.9,46.41,53.94,7.04,26.47,73.61,77.92,Sandy Loam,Zayad,Watermelon
32.66,42.28,21.41,7.04,26.14,54.47,57.97,Loamy,Kharif,MothBeans
25.7,54.93,26.68,8,32.41,65.46,42.24,Sandy Loam,Kharif,MothBeans
37.26,68.34,51.24,7.42,20.05,76.01,97.77,Clay,Rabi,Chickpea
28.76,118.11,201.15,6.71,17.09,65.43,137.45,Loamy,Rabi,Apple
33.94,57.16,38.56,6.96,28.32,76.9,71.21,Clay,Kharif,Blackgram
98.81,64.02,90.15,6.12,30.82,79.29,168.13,Red Soil,Kharif,Papaya
87.01,41.75,24.55,5.88,25.14,71.41,78.8,Clay Loam,Kharif,Maize
62.81,48.79,42.63,6.6,18.7,51.28,57.99,Loamy,Rabi,Wheat
37.27,62.49,22.92,7.25,23.1,63.27,82.56,Loamy,Kharif,PigeonPeas
17.03,28.66,29.94,7.14,20.33,35.89,73.36,Sandy,Rabi,Pomegranate
36.1,64.09,23.6,6.7,21.77,72.32,73.8,Clay Loam,Rabi,Lentil
32.19,91.03,296.91,6.63,24.64,70.77,76.92,Black Soil,Rabi,Grapes
37.34,94.45,275.65,6.38,33.87,65.74,99.78,Loamy,Rabi,Grapes
80.42,59.37,21.65,6.33,19.23,63.87,99.58,Loamy,Rabi,Maize
22.13,33.55,17.58,7.41,27.8,48.7,84.94,Red Soil,Rabi,Pomegranate
31.25,122.06,221.24,6.32,18.83,68.33,105.21,Sandy Loam,Rabi,Apple
28.06,55.53,22.58,7.67,25.03,58.42,30.33,Sandy,Kharif,MothBeans
106.03,44.95,44.86,6.16,26.48,74.14,82.03,Loamy,Kharif,Cotton
27.72,143.24,212.48,5.7,18.08,73.85,100.08,Loamy,Rabi,Apple
39.83,44.39,34.28,6.27,29.71,73.95,76.83,Loamy,Zayad,MungBean
97.84,63.82,89.44,6.58,23.86,83.44,199.43,Loamy,Kharif,Papaya
59.73,31.93,37.75,6.9,26.8,80,248.91,Alluvial,Kharif,Jute
43.08,59.11,30.44,7.15,25.19,76.28,83.64,Loamy,Kharif,Blackgram
34.98,26.35,17.12,6.01,15.08,76.85,120.54,Red Soil,Kharif,Orange
34.39,32.96,25.35,7.42,15.27,62.56,136.4,Sandy Loam,Rabi,Orange
43.58,31.45,113.65,5.76,28.4,74.16,198.96,Coastal Sandy,Kharif,Coconut
82.38,73.3,295.41,6.94,27.45,80.11,125.04,Loamy,Kharif,Banana
37.75,144.06,214.02,6.61,17.1,61.25,134.32,Sandy Loam,Rabi,Apple
34.97,50.04,29.79,6.4,29.56,67.69,106.49,Clay,Kharif,PigeonPeas
95.73,73.7,274.41,7.11,25.44,81.19,130.65,Clay Loam,Kharif,Banana
33.45,47.82,22.71,6.05,30.98,82.15,95.86,Loamy,Zayad,MungBean
38.61,26.34,35.28,5.96,32.84,54.87,146.02,Sandy Loam,Kharif,Mango
26.65,114.74,228.83,6.23,21.31,60.5,130.62,Loamy,Rabi,Apple
75.2,59.27,33.98,6.42,24.3,62.62,61.37,Sandy Loam,Kharif,Maize
43.54,20.86,21.9,7.49,25.28,68.16,130.84,Sandy Loam,Kharif,Orange
107.94,65.84,281.56,7.1,25.91,85.75,192.27,Clay Loam,Kharif,Banana
38.86,66.75,45.83,7.04,26.79,74.21,93.73,Sandy Loam,Rabi,Chickpea
118.32,72.63,305.51,7.05,34.89,78.96,181.63,Red Soil,Kharif,Banana
34.5,58.78,37.49,7.15,27.71,79.28,72.23,Loamy,Kharif,Blackgram
90.55,57.42,53.58,6.24,26.77,77.96,65.99,Sandy Loam,Kharif,Muskmelon
31.57,40.78,35.19,6.71,30.79,79.17,74.46,Clay Loam,Zayad,MungBean
30.65,136.08,205.95,6.22,22.37,71.29,143.3,Sandy Loam,Rabi,Apple
45.54,68.25,45.17,6.65,24.46,66.54,73.6,Sandy Loam,Rabi,Chickpea
98.37,52.86,53.93,6.68,26.52,75.85,70.59,Loamy,Zayad,Muskmelon
85.05,43.26,25.33,5.87,23.62,64,71.96,Sandy Loam,Kharif,Maize
16.41,55.53,22.33,7.43,34.97,62.67,56.35,Sandy,Kharif,MothBeans
96.13,40.49,43.36,5.84,23.97,84.17,277,Loamy,Rabi,Rice
99.8,49.43,45.89,7.4,30.18,66.61,47.03,Loamy,Zayad,Watermelon
55.5,29.12,32.51,6.13,30.63,83.16,159.68,Loamy,Kharif,Jute
21.74,106.23,249.12,5.87,23.71,69.33,108.46,Clay Loam,Rabi,Apple
44.58,26.22,15.24,6.09,26.09,61.75,111.4,Red Soil,Kharif,Orange
85.81,59.69,52.33,6.63,31.37,65.82,55.75,Sandy Loam,Kharif,Muskmelon
29.41,103.47,218.69,6.51,17.72,67.56,103.05,Sandy Loam,Rabi,Apple
115.5,48.48,57.45,7.02,23.39,75.65,87.87,Clay,Kharif,Cotton
26.55,41.01,39.81,7.74,29.81,63.33,58.41,Sandy,Kharif,MothBeans
33,68.59,31.69,6.22,22,66.09,52.79,Sandy,Rabi,Lentil
21.69,59.44,33.68,6.87,30.11,62.89,52.96,Loamy,Kharif,MothBeans
36.43,31.43,30.28,6.32,25.1,59.08,128.48,Sandy Loam,Kharif,Mango
94.09,46.99,58.63,6.66,24.73,76.45,71.25,Sandy Loam,Kharif,Watermelon
15.73,53.55,39.19,6.78,29.04,68.63,45.78,Loamy,Kharif,MothBeans
37.56,53.25,25.88,6.94,15.77,73.98,68.61,Sandy,Kharif,KidneyBeans
39.31,69.56,35.14,6.19,27.92,67.8,106.83,Clay,Kharif,PigeonPeas
35.08,66.51,34.98,6.62,31.41,70.89,82.66,Red Soil,Rabi,Blackgram
26.39,27.71,33.73,7.17,26.53,46.39,52.25,Loamy,Rabi,Pomegranate
95.58,61.55,91.73,6.39,22.96,76.46,163.22,Loamy,Kharif,Papaya
92.41,40.97,46.35,5.56,23.65,82.1,239.02,Clay Loam,Rabi,Rice
54.17,24.96,25.85,6.11,30.79,82.7,222.82,Alluvial,Kharif,Jute
103.87,67.69,252.35,6.76,28.61,84.54,196.09,Loamy,Kharif,Banana
98.64,77.92,270.95,6.32,30.26,84.9,110.61,Red Soil,Kharif,Banana
86.92,58.74,58.94,6.5,30.93,75.75,60.92,Sandy Loam,Zayad,Muskmelon
130.47,58.21,56.36,7.14,25.62,77.46,71.67,Loamy,Kharif,Cotton
25.11,53.36,30.27,6.52,23.37,60.69,94.77,Loamy,Kharif,PigeonPeas
30.15,20.46,22.17,7.34,27.4,69.97,149.98,Sandy Loam,Kharif,Mango
88.61,55.2,53.89,6.04,29.63,76.39,71.47,Sandy,Kharif,Muskmelon
91.4,45.05,44.49,5.6,24.96,83.83,221.23,Clay Loam,Kharif,Rice
102.61,42.21,110.7,6.16,20.92,84.85,154.44,Clay Loam,Kharif,Coffee
22.5,25.78,21.47,6.56,30.34,52.33,131.57,Sandy Loam,Kharif,Mango
35.12,21.58,23.3,6.02,28.34,64.98,110.19,Sandy Loam,Kharif,Mango
99.11,52.31,54.92,6.02,29.07,68.14,62.52,Sandy Loam,Kharif,Muskmelon
54.61,38.95,31.66,6.2,25.2,79.55,242.99,Clay,Kharif,Jute
88.7,69.28,98.04,6.41,23.72,76.64,189.78,Sandy Loam,Kharif,Papaya
80.95,44.12,51.66,6.69,27.69,72.69,67.64,Sandy,Zayad,Muskmelon
114.85,68.86,348.5,6.26,31.36,88.09,184.43,Clay Loam,Kharif,Banana
89.98,50.73,57.13,6.63,30.05,70.8,63.58,Sandy Loam,Kharif,Watermelon
38.35,106.28,201.67,6.53,23.12,61.08,133.58,Loamy,Rabi,Apple
17.19,51.1,20.5,7.02,28.41,52.07,46.73,Loamy,Kharif,MothBeans
57.89,34.46,38.19,6.26,28.31,74.72,209.25,Clay,Kharif,Jute
19.18,23.73,24.16,7.38,21.73,50.64,78.99,Sandy,Rabi,Pomegranate
39.31,45.58,36.54,7.14,34.27,74.22,65.43,Clay Loam,Kharif,MungBean
35.32,55.44,24.43,6.23,23.09,73.72,91.49,Sandy Loam,Rabi,KidneyBeans
31.52,56.7,52.14,6.3,20.07,74.76,86.04,Clay,Rabi,Chickpea
84.37,54.62,116.03,6.38,26.42,79.39,207.6,Clay Loam,Rabi,Coffee
20.19,67.67,22.4,7.18,23.79,70.7,42.97,Sandy,Rabi,Lentil
30.03,52.71,30.63,7.27,31.72,56.63,59.9,Loamy,Kharif,MothBeans
96.85,74.63,295.16,6.03,26.25,79.58,119.04,Red Soil,Kharif,Banana
45.12,52.87,39.38,6.49,30.81,70.74,75.82,Loamy,Rabi,Blackgram
35.92,147.03,233.38,6.03,15.56,63.25,123.47,Loamy,Rabi,Apple
32.51,43.51,37.32,7.59,25.13,60.61,44.72,Sandy Loam,Kharif,MothBeans
27.75,46.48,25.07,7.29,33.58,51.2,36.87,Loamy,Kharif,MothBeans
29.67,147.99,204.97,6.28,15.07,65.19,101.37,Clay Loam,Rabi,Apple
81.97,49.9,40.42,6.34,21.38,87.68,242.18,Clay,Rabi,Rice
78.09,57.61,32.4,6.62,25.19,57.77,91.11,Sandy Loam,Rabi,Maize
38.14,20.54,31.42,6.87,26.93,67.46,105.05,Red Soil,Rabi,Orange
22.12,55.45,36.46,6.48,15.21,64.68,72.46,Sandy,Kharif,KidneyBeans
22.43,104.84,206.89,6.16,26.15,64.83,58.58,Loamy,Kharif,Grapes
106.37,44.14,45.35,6.47,31.56,73.53,59.25,Loamy,Zayad,Watermelon
34.83,68.88,32.18,6.83,31.97,79.42,67.5,Loamy,Rabi,Blackgram
88.24,52.19,38.96,6.5,24.78,66.6,66.77,Sandy Loam,Rabi,Maize
26.7,45.14,29.4,7.11,26.71,79.2,75.98,Sandy,Zayad,MungBean
113.79,60.94,256.76,7.41,33.47,88.04,119.61,Loamy,Kharif,Banana
40.63,34.56,32.24,7.17,34.1,77.95,178.29,Loamy,Kharif,Jute
38.53,57.05,38.67,7.02,25.72,72.1,60.93,Clay,Rabi,Blackgram
38.74,55.27,55.8,7.49,28.54,67.55,60.27,Clay,Rabi,Chickpea
71.64,47.96,20.45,6.95,24.85,55.05,65.69,Sandy Loam,Rabi,Maize
96.32,59.61,102.91,6.46,25.81,83.65,196.2,Loamy,Rabi,Coffee
33.76,65.54,27.6,6.06,17.5,72.66,61.98,Loamy,Rabi,Lentil
46.53,52.92,50.89,6.97,22,74.15,70.37,Loamy,Rabi,Chickpea
21.84,59.04,35.94,6.54,28.39,74.25,117.95,Loamy,Kharif,PigeonPeas
107.02,43.4,97.89,6.1,20.63,79.76,181.22,Clay Loam,Kharif,Coffee
35.12,66.62,32.01,6.16,33.62,68.98,84.67,Red Soil,Kharif,Blackgram
96.02,77.74,91.67,6.97,25.92,71.47,136.25,Loamy,Kharif,Papaya
83.76,63.81,82.02,6.71,30.18,74.87,124.68,Sandy Loam,Kharif,Papaya
39.99,20.21,33.55,6.71,25.86,60.25,107.97,Loamy,Rabi,Orange
139.81,55.1,43.62,6.36,25.48,69.64,100.85,Clay,Kharif,Cotton
34.06,57.61,32.62,6.99,20.72,61.04,85.49,Red Soil,Kharif,PigeonPeas
17.98,25.71,29.58,6.76,20.29,46.02,50.29,Red Soil,Rabi,Pomegranate
49.89,46.53,125.1,7.21,29.26,87.23,204.74,Coastal Sandy,Kharif,Coconut
48.48,55.32,45.93,6.78,29.9,76.68,92.57,Red Soil,Rabi,Blackgram
29.17,126.84,241.78,6.36,21.36,70.34,127.68,Loamy,Rabi,Apple
32.34,56.83,36.28,6.85,28.27,75.27,95.48,Loamy,Rabi,Blackgram
45.06,67.99,44,6.25,23.81,65.58,75.67,Clay,Rabi,Chickpea
80.3,40.43,24.17,6.55,21.7,56.34,62.62,Loamy,Kharif,Maize
30.97,89.27,200.36,6.55,34.07,64.05,78.48,Loamy,Rabi,Grapes
43.86,69.36,40.03,6.99,26.43,74.75,69.27,Red Soil,Rabi,Blackgram
96.97,43.21,99.2,6.18,25.78,74.58,164.3,Clay Loam,Kharif,Coffee
28.69,69.56,34.6,6.25,24.64,65.95,91.61,Loamy,Rabi,KidneyBeans
87.91,42.66,87.32,6.21,15.67,72.88,184.84,Loamy,Rabi,Coffee
39.06,58.74,30.78,6.88,16.86,66.69,86.13,Sandy,Kharif,KidneyBeans
16.25,41.41,23.49,7.35,25.59,64.14,53.5,Sandy,Kharif,MothBeans
28.1,21.04,20.71,5.62,24.53,61.47,84.65,Loamy,Kharif,Mango
57.13,42.81,46.13,6.12,16.88,68.35,52.66,Clay Loam,Rabi,Wheat
90.06,41.8,40.14,6.37,27.56,78.43,63.57,Sandy,Zayad,Muskmelon
90.66,57.34,57.58,6.72,26.88,70.17,69.18,Sandy Loam,Zayad,Muskmelon
75,53.03,36.12,5.51,20.28,55.37,95.35,Clay Loam,Kharif,Maize
58.72,30.96,34.29,7.23,31.37,85.86,155.18,Loamy,Kharif,Jute
42.4,64.87,43.06,6.67,30.43,74.99,95.75,Clay,Rabi,Blackgram
52.32,48.69,49.42,7.47,15.57,51.5,56.44,Clay Loam,Rabi,Wheat
20.5,21.23,29.92,5.54,32.66,56.06,106.67,Sandy Loam,Kharif,Mango
92.08,48.91,48.9,6.3,25.99,83.25,294,Clay Loam,Kharif,Rice
82.76,49.42,46.68,6.67,22.75,86.59,244.32,Clay,Kharif,Rice
118.85,61.62,269.67,6.22,31.71,84.74,112.56,Clay Loam,Kharif,Banana
59.64,26.95,34.35,6.77,31.54,81.5,177.27,Clay,Kharif,Jute
87.55,52.99,100.94,6.05,16.87,75.48,204.63,Red Soil,Rabi,Coffee
96.49,63.86,295.15,7.29,34.39,81.17,155.11,Clay Loam,Kharif,Banana
99.27,75.14,94.29,6.74,25.8,72.47,192.3,Sandy Loam,Kharif,Papaya
24.39,26.08,35.58,6.21,24.62,64.6,104.06,Loamy,Kharif,Mango
15.66,53.03,36.78,7.96,27.09,51.16,53.49,Sandy,Kharif,MothBeans
29.36,66.31,30.27,6.18,23.18,66.52,53.63,Sandy,Rabi,Lentil
38.84,60.05,35.63,6.7,24.6,74.89,83.85,Clay,Kharif,PigeonPeas
97.1,56.95,57.11,6.51,25.02,72.09,63.23,Sandy,Zayad,Watermelon
93.18,65.15,349.72,6.86,31.89,81.72,172.24,Clay Loam,Kharif,Banana
23.77,68.81,36.03,5.83,18.04,73.05,60.26,Loamy,Kharif,KidneyBeans
72.7,45.72,37.06,6.13,21.6,59.09,69.21,Loamy,Rabi,Maize
30,107.53,243.02,6.49,26.23,62.27,59.53,Sandy,Rabi,Grapes
97.57,50.19,40.46,6.88,27.33,73.15,67.78,Sandy,Zayad,Muskmelon
32.12,62.57,20.52,7.25,24.12,74.94,59.14,Sandy,Rabi,Lentil
77.18,47.84,39.84,6.34,25.56,67.47,55.01,Loamy,Kharif,Maize
33.58,66.81,32.7,6.66,23.2,62.56,74.38,Clay Loam,Rabi,Lentil
24.28,28.22,30.28,7.33,26.13,52.25,56.14,Sandy,Kharif,Pomegranate
93.77,69.64,93.4,6.47,23.62,78.03,105.63,Red Soil,Kharif,Papaya
29.2,89,232.79,6.51,32.97,66.83,50.53,Black Soil,Rabi,Grapes
36.28,24.38,26.62,6,24.98,60.08,141.01,Sandy Loam,Kharif,Orange
82.66,44.09,109.61,6.24,18.14,80.72,156.56,Red Soil,Rabi,Coffee
88.14,48.55,42.2,5.67,21.31,81.67,284.27,Clay,Rabi,Rice
59.79,33.62,39.35,6.37,31.43,88.05,167.29,Clay,Kharif,Jute
20.68,42.03,26.31,7.09,28.4,67.34,32.55,Sandy Loam,Kharif,MothBeans
69.44,53.86,50.1,6.5,23.09,63.04,46.93,Clay,Rabi,Wheat
32.02,22.99,28.1,6.49,26.98,50.01,101.09,Loamy,Kharif,Mango
84.53,52.61,56.42,6.18,28.54,66.74,54.82,Loamy,Zayad,Muskmelon
32.82,50.04,28.88,6.84,25.92,67.88,108.03,Clay,Kharif,PigeonPeas
82.59,44.97,22.76,6.67,23.47,69.38,81.68,Loamy,Kharif,Maize
23.71,45.31,22.77,6.81,30.82,69.76,59.33,Sandy,Kharif,MothBeans
52.89,37.12,144.34,5.93,30.75,85.08,192.66,Loamy,Kharif,Coconut
33.76,47.48,22.72,6.48,26.33,71.61,72.1,Clay Loam,Kharif,MungBean
88.35,56.11,80.69,6.45,18.84,79.31,246.21,Red Soil,Kharif,Coffee
23.75,30.85,28.63,7.21,28.99,36.49,90.11,Loamy,Kharif,Pomegranate
49.72,51.37,44.16,7.37,28.3,66.55,66.01,Loamy,Rabi,Chickpea
31.62,30.47,37.66,5.66,27.66,59.39,107.7,Red Soil,Kharif,Mango
135.62,40.29,50.36,6.46,28.72,68.34,89.34,Loamy,Kharif,Cotton
24.39,68.36,20.68,6.16,21.27,68.74,53.13,Clay Loam,Rabi,Lentil
95.75,75.04,307.32,6.31,25.09,78.65,136.87,Clay Loam,Kharif,Banana
46.67,27.4,32.14,7.33,17.58,76.62,123.86,Red Soil,Rabi,Orange
87.39,48.48,48.39,6.5,25.96,82.47,244.27,Clay,Kharif,Rice
90.33,76.8,95.12,6.53,30.76,72.57,153.46,Red Soil,Kharif,Papaya
30.75,64.3,32.92,6.99,24.87,69.55,66.12,Loamy,Rabi,Lentil
25.62,52.5,36.82,6.4,30.38,78.73,79.39,Clay Loam,Kharif,MungBean
49.07,33.85,136.87,6.38,34.93,85.46,150.85,Coastal Sandy,Kharif,Coconut
38.98,64.99,51.29,6.27,26.56,62.91,82.51,Loamy,Rabi,Chickpea
32,47.16,23.12,7.02,26.64,65.06,39.24,Sandy Loam,Kharif,MothBeans
49.96,30.04,26.6,6.62,26.19,69.72,134.83,Loamy,Kharif,Orange
31.93,55.73,41.26,6.12,25.17,73.99,62.01,Red Soil,Kharif,Blackgram
41.03,32.01,149.91,6.5,34.55,84.91,161.53,Loamy,Kharif,Coconut
35.96,18.83,25.28,6.2,29.88,63.2,126.21,Sandy Loam,Kharif,Orange
80.56,44.23,46.72,6.97,22.34,86.79,225.65,Loamy,Kharif,Rice
86.17,45.49,42.32,6.05,24.34,71.91,62.12,Sandy Loam,Zayad,Muskmelon
24.63,143.78,201.11,6.89,20.04,67.46,101.43,Sandy Loam,Rabi,Apple
67.22,49.42,42.54,7.18,18.41,65.44,72.02,Loamy,Rabi,Wheat
40.04,31.03,23.6,6.35,28.56,83.97,222.32,Alluvial,Kharif,Jute
101.93,58.37,103.69,6.14,27.43,84.64,230.45,Red Soil,Kharif,Coffee
56.72,30.08,143.2,6.18,29.66,71.49,212.39,Coastal Sandy,Kharif,Coconut
97.12,59.29,44.39,6.98,25.77,68.75,68.42,Loamy,Kharif,Muskmelon
29.6,116.06,213.24,7.4,32.01,71.48,74.32,Black Soil,Kharif,Grapes
88.11,49.16,21.84,6.45,18.2,64.39,70.91,Loamy,Rabi,Maize
